what things can you do,capabilities
what else,capabilities
what do you know,capabilities
what can you help me with,capabilities
what can you do for me,capabilities
what can you do,capabilities
What can i say,capabilities
what can I do,capabilities
what are your capabilities Watson?,capabilities
what are you capable of,capabilities
What are you,capabilities
tell me what you can do,capabilities
tell me what things you can do,capabilities
need help,capabilities
how can you help me,capabilities
How are you going to help me?,capabilities
help me,capabilities
help,capabilities
can I manipulate the,capabilities
toodles,goodbyes
time to go,goodbyes
then bye,goodbyes
thank you for your help,goodbyes
thanks watson,goodbyes
so long,goodbyes
signing out,goodbyes
signing off,goodbyes
should go,goodbyes
should be going,goodbyes
see you soon,goodbyes
see you later,goodbyes
see you,goodbyes
see ya soon,goodbyes
see ya later,goodbyes
see ya,goodbyes
over and out,goodbyes
out of time,goodbyes
ok bye,goodbyes
need to run,goodbyes
need to leave,goodbyes
need to go,goodbyes
my time is up,goodbyes
logging off,goodbyes
laters,goodbyes
later,goodbyes
I'm leaving,goodbyes
have to run,goodbyes
have to leave,goodbyes
have to go,goodbyes
gtg,goodbyes
got to go,goodbyes
gotta run,goodbyes
gotta go,goodbyes
good night,goodbyes
good day,goodbyes
good bye,goodbyes
goodbye,goodbyes
farewell,goodbyes
cya,goodbyes
bye now,goodbyes
bye bye,goodbyes
BYE,goodbyes
au revoir,goodbyes
adios,goodbyes
adieu,goodbyes
yo,greetings
yello,greetings
namaste,greetings
Its not that good,greetings
I'm feeling good thanks,greetings
I am not feeling good,greetings
howdy,greetings
How are you doing?,greetings
hola como estas,greetings
Hola,greetings
hiya,greetings
Hi watson,greetings
hi there,greetings
hi how are u,greetings
hi,greetings
hey there,greetings
heya,greetings
hey,greetings
Hello Watson,greetings
"Hello, how are you?",greetings
Hello,greetings
greetings,greetings
good morning,greetings
good how are you,greetings
good evening,greetings
good day,greetings
good,greetings
g'day,greetings
feeling bit low,greetings
ciao,greetings
buenos dias,greetings
bonjour,greetings
bad,greetings
aloha,greetings
what are your hours?,hours
how early are you open?,hours
how late can I come in?,hours
what time are you open?,hours
what are your hours of operation?,hours
where's the nearest exit,locate_amenity
where is the pool,locate_amenity
where is the bathroom?,locate_amenity
where is ATM,locate_amenity
where is a restaurant,locate_amenity
where can i have pizza,locate_amenity
where can i eat pizza?,locate_amenity
where can i drink,locate_amenity
where are the closest restrooms,locate_amenity
what's nearby Watson,locate_amenity
what's near,locate_amenity
what's close to me,locate_amenity
what's closeby,locate_amenity
what is near me,locate_amenity
what is nearby,locate_amenity
what is near,locate_amenity
what is closeby,locate_amenity
take me to,locate_amenity
Stop for food/coffee,locate_amenity
show me the best path,locate_amenity
restaurants,locate_amenity
restaurant,locate_amenity
pizza,locate_amenity
order a pizza,locate_amenity
nearby restaurant,locate_amenity
Navigation,locate_amenity
locate ammenity,locate_amenity
let's get some grub,locate_amenity
I want to stop for some food,locate_amenity
I want to eat pizza,locate_amenity
i want pizza,locate_amenity
I want eat,locate_amenity
i want drink,locate_amenity
I want a bar,locate_amenity
Information on locations near me,locate_amenity
i need to stop for gas,locate_amenity
i need some coffee,locate_amenity
im hungry I want to eat something,locate_amenity
i'm hungry,locate_amenity
I'd like to get something to eat,locate_amenity
I am hungry,locate_amenity
go to the closest,locate_amenity
go to a,locate_amenity
get me directions,locate_amenity
find me a restaurant,locate_amenity
Find best gas option,locate_amenity
find a restaurant,locate_amenity
drive to the,locate_amenity
can you locate a,locate_amenity
can you find the nearest gas station for me,locate_amenity
can you find me a,locate_amenity
can you find a good place to eat?,locate_amenity
Amenities,locate_amenity
You're asking me too much,off_topic
Yolo,off_topic
yes,off_topic
yeah,off_topic
why is the sky blue,off_topic
why?,off_topic
which color is best for wedding,off_topic
where should I turn?,off_topic
where is the poop deck on this ship?,off_topic
what types of food do you like,off_topic
what time is it?,off_topic
What's your name?,off_topic
whats your name,off_topic
what's your name,off_topic
whats your favorite movie,off_topic
whats your favorite color,off_topic
whats the square root of 70,off_topic
What's the speed?,off_topic
what kind of food do you eat,off_topic
what is your name?,off_topic
what is your name,off_topic
what is my speed?,off_topic
Turn left,off_topic
This is good,off_topic
This is awesome,off_topic
testing om,off_topic
test,off_topic
tell me your favorite foods,off_topic
tell me your favorite color,off_topic
tell me some jokes,off_topic
"system error, unable to lonin",off_topic
shut down,off_topic
shutdown,off_topic
roll down windows,off_topic
repair my car,off_topic
Post-it notes taste terrible.,off_topic
poop,off_topic
open door,off_topic
"ok watson, why should I use you",off_topic
Nuts,off_topic
nope,off_topic
lgits,off_topic
lgiths,off_topic
know any jokes,off_topic
I want to talk,off_topic
i want to see how this demo works,off_topic
I want to eat tacos everyday,off_topic
I want to date you,off_topic
i want jokes,off_topic
it's too dark,off_topic
I need to shut it down,off_topic
i need a new wheelchair,off_topic
I love spicy food,off_topic
I love dolphins,off_topic
I enjoy petting cats,off_topic
I'd like to have dinner with you,off_topic
huhu,off_topic
how tall are you,off_topic
how much do you weigh,off_topic
how many licks does it take to get to the center of a tootsie roll,off_topic
how far is the moon,off_topic
fdsafsaHi watson,off_topic
don't you know any jokes,off_topic
dfddfg,off_topic
deploy airbags,off_topic
culd,off_topic
cool,off_topic
cats are my favorite animal,off_topic
carrot,off_topic
book a flight for NY on sunday,off_topic
asdasidjiwe,off_topic
asdasdasda,off_topic
aho,off_topic
Where is the fuse box located?,out_of_scope
Where is the fuse box,out_of_scope
where can i start air conditioning,out_of_scope
where are the lights,out_of_scope
where are fog lights,out_of_scope
what type of oil do i need?,out_of_scope
what's the tires pressure,out_of_scope
What PSI do I inflate the spare tire to,out_of_scope
What kind of fuel should I use?,out_of_scope
what kind of fuel should i use,out_of_scope
what kind of fuel does the car require?,out_of_scope
what is the vehicle stability control,out_of_scope
what is the traction control,out_of_scope
what is the pre collision system,out_of_scope
what are the crash ratings?,out_of_scope
turn off traffic info,out_of_scope
switch on fog light,out_of_scope
show me how to change the light bulbs,out_of_scope
refilling the engine coolant,out_of_scope
